File,Similarity,Search
Syria.pdf,0.8021814227104187,Russia
Live Updates Climate Change.pdf,0.4532884359359741,Russia
US aid for India.pdf,0.35872215032577515,Russia
Russophobic.pdf,0.35418641567230225,Russia
